                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.3918,                0.83642,                  1.507,                0.97967,                0.91229,                0.96982,                0.59144,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                 1.3424,                0.79316,                 1.4735,                0.96076,                0.92692,                0.96431,                0.60715,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                 1.3752,                 0.8149,                  1.479,                0.94376,                0.95899,                0.97393,                 0.5833,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                 1.3656,                0.79856,                 1.4695,                0.96503,                0.93691,                0.96901,                0.59476,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                 1.3821,                0.81357,                 1.4944,                0.96457,                 0.9448,                0.97663,                0.60676,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                 1.3599,                 0.8006,                 1.4959,                 0.9647,                0.94826,                0.97455,                0.61885,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                 1.3575,                0.80873,                 1.4863,                0.95571,                0.95292,                0.97181,                 0.6146,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                 1.3561,                0.80511,                 1.4902,                0.94979,                0.95483,                 0.9779,                0.60598,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                 1.3598,                0.80788,                  1.483,                0.95352,                0.96215,                0.97644,                0.59814,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                 1.3527,                0.79569,                 1.4717,                0.93251,                0.95584,                0.96827,                0.60901,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                 1.3196,                0.75481,                 1.4427,                0.94361,                0.95014,                0.97018,                0.61274,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                 1.3302,                0.77775,                 1.4766,                0.95597,                0.95896,                0.98092,                0.62088,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                 1.3279,                0.77441,                 1.4764,                0.96877,                0.95268,                0.98319,                0.61986,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                 1.3158,                 0.7822,                  1.461,                0.95685,                0.92744,                0.96354,                0.61115,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                  1.316,                0.75275,                 1.4541,                0.96763,                0.94288,                0.97559,                0.61768,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                 1.3073,                0.75599,                 1.4281,                0.97057,                0.93624,                0.97585,                0.61308,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                 1.3048,                0.75657,                 1.4339,                0.95709,                0.94637,                0.97515,                0.61879,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                 1.2199,                0.68332,                 1.5091,                0.95683,                0.95268,                0.98374,                 0.5992,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                  1.202,                0.63791,                 1.4589,                0.96808,                0.92429,                0.97014,                0.59127,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                 1.1921,                0.65242,                 1.4985,                0.96538,                0.94322,                0.96977,                0.61155,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                 1.1841,                0.63142,                 1.4491,                0.96449,                 0.9424,                0.97478,                0.62227,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                 1.1585,                0.63852,                  1.454,                 0.9614,                0.94279,                0.97289,                0.62186,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                 1.1619,                0.63214,                  1.452,                0.95876,                0.95329,                 0.9827,                0.62532,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                 1.1479,                0.61822,                 1.4314,                0.95251,                0.94637,                0.97887,                0.63282,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                  1.148,                0.60965,                 1.4241,                0.96466,                0.94725,                0.97647,                0.62941,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                 1.1317,                0.59981,                 1.4036,                0.95179,                0.95584,                0.97579,                0.63278,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                 1.1361,                0.61532,                 1.4491,                0.97092,                0.94805,                0.97828,                 0.6326,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
